98Rb,0.115,85.646,98Sr,0.653,99.770,98Y,0.548,99.670,98Zr,30.7,100.000,98Nb,2.86,100.000,98Mo,STABLE
98Rb,0.115,14.300,97Sr,0.429,99.970,97Y,3.74,99.942,97Zr,60296.4,100.000,97Nb,4326,100.000,97Mo,STABLE
98Rb,0.115,0.054,96Sr,1.069,99.999,96Y,5.34,100.000,96Zr,7.42E+26,,,,,,
98Rb,0.115,85.646,98Sr,0.653,0.230,97Y,3.74,99.942,97Zr,60296.4,100.000,97Nb,4326,100.000,97Mo,STABLE
98Rb,0.115,14.300,97Sr,0.429,0.030,96Y,5.34,100.000,96Zr,7.42E+26,,,,,,
98Rb,0.115,0.054,96Sr,1.069,0.001,95Y,618,100.000,95Zr,5532364.8,100.000,95Nb,3023222.4,100.000,95Mo,STABLE
98Rb,0.115,85.646,98Sr,0.653,99.770,98Y,0.548,0.330,97Zr,60296.4,100.000,97Nb,4326,100.000,97Mo,STABLE
98Rb,0.115,14.300,97Sr,0.429,99.970,97Y,3.74,0.058,96Zr,7.42E+26,,,,,,
98Rb,0.115,85.646,98Sr,0.653,0.230,97Y,3.74,0.058,96Zr,7.42E+26,,,,,,
