Nuclide,T12
63V,0.0196
64V,0.015
42Cr,0.0133
43Cr,21.2
44Cr,0.0428
45Cr,0.0609
46Cr,0.26
47Cr,0.5
48Cr,77616
49Cr,2538
51Cr,2393496
52Cr,STABLE
53Cr,STABLE
54Cr,STABLE
55Cr,209.82
56Cr,356.4
57Cr,21.1
58Cr,7
59Cr,1.05
60Cr,0.492
61Cr,0.234
62Cr,0.2
63Cr,0.129
64Cr,0.0429
65Cr,0.028
66Cr,0.023
46Mn,0.0362
47Mn,0.088
48Mn,0.1581
49Mn,0.382
50Mn,0.28319
51Mn,2772
52Mn,483062.4
53Mn,1.18025E+14
54Mn,26974080
55Mn,STABLE
56Mn,9284.04
57Mn,85.4
58Mn,3
59Mn,4.59
60Mn,0.28
61Mn,0.709
62Mn,0.092
63Mn,0.276
64Mn,0.09
65Mn,0.0919
66Mn,0.065
67Mn,0.047
68Mn,0.028
69Mn,0.016
45Fe,0.00245
46Fe,0.013
47Fe,0.0219
48Fe,0.0453
49Fe,0.0647
50Fe,0.155
51Fe,0.305
52Fe,29790
53Fe,510.6
54Fe,STABLE
55Fe,86594054.4
56Fe,STABLE
57Fe,STABLE
58Fe,STABLE
59Fe,3844368
60Fe,8.26809E+13
61Fe,358.8
62Fe,68
63Fe,6.1
64Fe,2
65Fe,0.81
66Fe,0.351
67Fe,0.395
68Fe,0.188
69Fe,0.162
70Fe,0.063
71Fe,0.035
72Fe,0.019
50Co,0.0388
51Co,0.0688
52Co,0.104
53Co,0.24
54Co,0.193
55Co,63108
56Co,6673190.4
57Co,23478336
58Co,6122304
59Co,STABLE
60Co,166344192
61Co,5936.4
62Co,90
63Co,27.4
64Co,0.3
65Co,1.16
66Co,0.209
67Co,0.329
68Co,0.099
69Co,0.18
70Co,0.014
71Co,0.08
72Co,0.0573
73Co,0.0405
74Co,0.0314
75Co,0.0265
76Co,0.0217
77Co,0.013
48Ni,0.0021
49Ni,0.0075
50Ni,0.0185
51Ni,0.0238
52Ni,0.0408
53Ni,0.0552
54Ni,0.1142
55Ni,0.2047
56Ni,524880
57Ni,128160
58Ni,STABLE
59Ni,2.39838E+12
60Ni,STABLE
61Ni,STABLE
62Ni,STABLE
63Ni,3193629120
64Ni,STABLE
65Ni,9063
66Ni,196560
67Ni,21
68Ni,29
69Ni,11.4
70Ni,6
71Ni,2.56
72Ni,1.587
73Ni,0.842
74Ni,0.5077
75Ni,0.3318
76Ni,0.2347
77Ni,0.1584
78Ni,0.1222
79Ni,0.043
80Ni,0.024
55Cu,0.027
56Cu,0.093
57Cu,0.1963
58Cu,3.204
59Cu,81.5
60Cu,1422
61Cu,12020.4
62Cu,580.38
63Cu,STABLE
64Cu,45723.6
65Cu,STABLE
66Cu,307.2
67Cu,222588
68Cu,30.9
69Cu,171
70Cu,44.5
71Cu,19.4
72Cu,6.63
73Cu,4.2
74Cu,1.594
75Cu,1.224
76Cu,0.638
77Cu,0.4681
78Cu,0.335
79Cu,0.241
80Cu,0.17
54Zn,0.00159
55Zn,0.0198
56Zn,0.03
57Zn,0.038
58Zn,0.086
59Zn,0.182
60Zn,142.8
61Zn,89.1
62Zn,33069.6
63Zn,2308.2
64Zn,2.21E+28
65Zn,21075552
66Zn,STABLE
67Zn,STABLE
68Zn,STABLE
69Zn,3384
70Zn,7.26E+24
71Zn,147
72Zn,167400
73Zn,23.5
74Zn,95.6
75Zn,10.2
76Zn,5.7
77Zn,2.08
78Zn,1.47
79Zn,0.746
80Zn,0.5619
81Zn,0.3035
82Zn,0.228
83Zn,0.117
60Ga,0.07
61Ga,0.167
62Ga,0.116121
63Ga,32.4
64Ga,157.62
65Ga,912
66Ga,34164
67Ga,281810.88
68Ga,4062.6
69Ga,STABLE
70Ga,1268.4
71Ga,STABLE
72Ga,50760
73Ga,17496
74Ga,487.2
75Ga,126
76Ga,32.6
77Ga,13.2
78Ga,5.09
79Ga,2.847
80Ga,1.9
81Ga,1.217
82Ga,0.599
83Ga,0.3081
84Ga,0.085
85Ga,0.092
86Ga,0.043
61Ge,0.044
62Ge,0.129
63Ge,0.15
64Ge,63.7
65Ge,30.9
