Nuclide,Element,Z,N,A,QB-,QB1n,QB2n,Half-Life,P1n,P2n,P1n-old,P2n-old,P1n-oldest,P2n-oldest,Q_{\beta^{-}},Q_{\beta^{-}n},Q_{\beta^{-}2n},Q_{\beta^{-}3n},Half-Life-old
169Eu,Eu,63,106,169,-1,-1,0,-1,0.001,0,-1,0,-1,,-1,-1,,,-1
169Gd,Gd,64,105,169,6180,500,0,0.75,0.001,0,-1,0,-1,,6180(590)\#,500(590)\#,,,0.75(21)
170Gd,Gd,64,106,170,5340,880,0,0.41 ,0.001,0,-1,0,-1,,5340(720)\#,880(670)\#,,,0.41 ($^{+14}_{-21}$)
171Gd,Gd,64,107,171,-1,-1,0,-1,0.001,0,-1,0,-1,,-1,-1,,,-1
169Tb,Tb,65,104,169,5270,160,0,5.13,0.001,0,-1,0,-1,,5270(420)\#,160(330)\#,,,5.13(32)
170Tb,Tb,65,105,170,6940,800,0,0.960,0.001,0,-1,0,-1,,6940(450)\#,800(500)\#,,,0.960(78)
171Tb,Tb,65,106,171,6160,1560,0,1.24 ,-1,0,-1,0,-1,,6160(590)\#,1560(540)\#,,,1.24 ($^{+9}_{-10}$)
172Tb,Tb,65,107,172,8160,2270,0,0.76,-1,0,-1,0,-1,,8160(590)\#,2270(590)\#,,,0.76(19)
173Tb,Tb,65,108,173,-1,-1,0,-1,0.001,0,-1,0,-1,,-1,-1,,,-1
174Tb,Tb,65,109,174,-1,-1,0,-1,0.001,0,-1,0,-1,,-1,-1,,,-1
174Dy,Dy,66,108,174,4320,-90,0,-1,0.001,0,-1,0,-1,,4320(590)\#,-90(590)\#,,,-1
175Dy,Dy,66,109,175,-1,-1,0,-1,0.001,0,-1,0,-1,,-1,-1,,,-1
176Dy,Dy,66,110,176,-1,-1,0,-1,0.001,0,-1,0,-1,,-1,-1,,,-1
174Ho,Ho,67,107,174,6260,-110,0,3.2,0,0,0,0,,,6260(420)\#,-110(360)\#,,,3.2(11)
175Ho,Ho,67,108,175,5450,680,0,-1,0.001,0,-1,0,-1,,5450(570)\#,680(500)\#,,,-1
176Ho,Ho,67,109,176,7340,1290,0,-1,-1,0,-1,0,-1,,7340(640)\#,1290(640)\#,,,-1
177Ho,Ho,67,110,177,-1,-1,0,-1,0.001,0,-1,0,-1,,-1,-1,,,-1
178Ho,Ho,67,111,178,-1,-1,0,-1,0.001,0,-1,0,-1,,-1,-1,,,-1
180Er,Er,68,112,180,-1,-1,0,-1,0.001,0,-1,0,-1,,-1,-1,,,-1
179Tm,Tm,69,110,179,4940,20,0,-1,0.001,0,-1,0,-1,,4940(540)\#,20(500)\#,,,-1
180Tm,Tm,69,111,180,6680,550,0,-1,0.001,0,-1,0,-1,,6680(590)\#,550(540)\#,,,-1
181Tm,Tm,69,112,181,5920,1360,0,-1,-1,0,-1,0,-1,,5920(670)\#,1360(670)\#,,,-1
185Yb,Yb,70,115,185,5390,-160,0,-1,0.001,0,-1,0,-1,,5390(590)\#,-160(590)\#,,,-1
186Lu,Lu,71,115,186,6210,40,0,-1,0.001,0,-1,0,-1,,6210(400)\#,40(410)\#,,,-1
187Lu,Lu,71,116,187,5240,770,0,-1,0.001,0,-1,0,-1,,5240(500)\#,770(400)\#,,,-1
188Lu,Lu,71,117,188,7090,960,0,-1,0.001,0,-1,0,-1,,7090(590)\#,960(590)\#,,,-1
191Ta,Ta,73,118,191,4680,-180,0,-1,0.001,0,-1,0,-1,,4680(300)\#,-180(300)\#,,,-1
192Ta,Ta,73,119,192,6590,40,0,2.2,0.001,0,-1,0,-1,,6590(450)\#,40(400)\#,,,2.2(7)
193Ta,Ta,73,120,193,5420,710,0,-1,0.001,0,-1,0,-1,,5420(450)\#,710(450)\#,,,-1
194Ta,Ta,73,121,194,7230,920,0,-1,0.001,0,-1,0,-1,,7230(590)\#,920(540)\#,,,-1
197Re,Re,75,122,197,4810,-300,0,0,0,0,0,0,,,4810(360)\#,-300(300)\#,,,
198Re,Re,75,123,198,6700,100,0,-1,0.001,0,-1,0,-1,,6700(450)\#,100(450)\#,,,-1
199Re,Re,75,124,199,5620,910,0,-1,0.001,0,-1,0,-1,,5620(450)\#,910(450)\#,,,-1
203Os,Os,76,127,203,7050,1070,0,-1,-1,0,-1,0,-1,,7050(570)\#,1070(500)\#,,,-1
203Ir,Ir,77,126,203,4940,-70,0,-1,0.001,0,-1,0,-1,,4940(450)\#,-70(400)\#,,,-1
204Ir,Ir,77,127,204,8230,1870,0,-1,-1,0,-1,0,-1,,8230(450)\#,1870(450)\#,,,-1
205Ir,Ir,77,128,205,7010,3890,0,-1,-1,0,-1,0,-1,,7010(590)\#,3890(540)\#,,,-1
206Pt,Pt,78,128,206,4580,1070,0,-1,-1,0,-1,0,-1,,4580(420)\#,1070(360)\#,,,-1
207Pt,Pt,78,129,207,6270,1600,0,-1,-1,0,-1,0,-1,,6270(500)\#,1600(500)\#,,,-1
208Pt,Pt,78,130,208,5110,1750,0,-1,-1,0,-1,0,-1,,5110(500)\#,1750(500)\#,,,-1
206Au,Au,79,127,206,6730,0,0,47,0.001,0,-1,0,-1,,6730(300)\#,0(300)\#,,,47(15)
207Au,Au,79,128,207,5680,2060,0,-1,-1,0,-1,0,-1,,5680(300)\#,2060(300)\#,,,-1
208Au,Au,79,129,208,7160,2320,0,-1,-1,0,-1,0,-1,,7160(300)\#,2320(300)\#,,,-1
209Au,Au,79,130,209,6100,2650,0,-1,-1,0,-1,0,-1,,6100(430)\#,2650(400)\#,,,-1
210Au,Au,79,131,210,7690,2900,0,-1,-1,0,-1,0,-1,,7690(450)\#,2900(430)\#,,,-1
209Hg,Hg,80,129,209,5000,40,0,6,0.001,0,-1,0,-1,,5000(150)\#,40(150)\#,,,6(1)
210Hg,Hg,80,130,210,3880,210,0,64,0.001,0,2.2,0,2.2(22),,3880(200)\#,210(200)\#,,,64(12)
211Hg,Hg,80,131,211,5450,550,0,26.4,0.001,0,6.3,0,6.3(63),,5450(200)\#,550(200)\#,,,26.4(81)
212Hg,Hg,80,132,212,4310,760,0,-1,0.001,0,-1,0,-1,,4310(360)\#,760(300)\#,,,-1
213Hg,Hg,80,133,213,5880,1150,0,-1,-1,0,-1,0,-1,,5880(300)\#,1150(360)\#,,,-1
214Hg,Hg,80,134,214,4710,1320,0,-1,-1,0,-1,0,-1,,4710(450)\#,1320(400)\#,,,-1
215Hg,Hg,80,135,215,6300,1670,0,-1,-1,0,-1,0,-1,,6300(500)\#,1670(450)\#,,,-1
216Hg,Hg,80,136,216,5140,1880,0,-1,-1,0,-1,0,-1,,5140(500)\#,1880(500)\#,,,-1
209Tl,Tl,81,128,209,3969.9,32.5,0,129.72,0.001,0,-1,0,-1,,3969.9(62),32.5(61),,,129.72(42)
210Tl,Tl,81,129,210,5482,296,0,78.0,0.001,0,0.007,0,0.007($^{+7}_{-4}$),,5482(12),296(12),,,78.0(18)
211Tl,Tl,81,130,211,4415,579,0,80,0.001,0,2.2,0,2.2(22),,4415(42),579(42),,,80(18)
212Tl,Tl,81,131,212,6000,870,0,34,0.001,0,1.8,0,1.8(18),,6000(200)\#,870(200)\#,,,34(13)
213Tl,Tl,81,132,213,4987,1261,0,24.4,7.6,0,7.6,0,7.6(34),,4987(28),1261(27),,,24.4(44)
214Tl,Tl,81,133,214,6650,1600,0,11.0,34,0,34,0,34(12),,6650(200)\#,1600(200)\#,,,11.0(24)
215Tl,Tl,81,134,215,5570,2020,0,9.7,4.6,0,4.6,0,4.6(46),,5570(300)\#,2020(300)\#,,,9.7(38)
216Tl,Tl,81,135,216,7240,2300,0,5.9,11.5,0,11.5,0,<11.5,,7240(360)\#,2300(300)\#,,,5.9(33)
217Tl,Tl,81,136,217,6070,2760,0,-1,-1,0,-1,0,-1,,6070(500)\#,2760(450)\#,,,-1
218Tl,Tl,81,137,218,7730,2870,-440,0,0,0,0,0,,,7730(500)\#,2870(500)\#,-440(450)\#,,
219Bi,Bi,83,136,219,3600,-150,0,10.6,0.001,0,-1,0,-1,,3600(200)\#,-150(200)\#,,,10.6(47)
220Bi,Bi,83,137,220,5560,70,0,9.5,0.001,0,-1,0,-1,,5560(300)\#,70(300)\#,,,9.5(57)
221Bi,Bi,83,138,221,4320,760,0,-1,0.001,0,-1,0,-1,,4320(300)\#,760(300)\#,,,-1
222Bi,Bi,83,139,222,6240,880,0,-1,0.001,0,-1,0,-1,,6240(300)\#,880(300)\#,,,-1
223Bi,Bi,83,140,223,5060,1580,0,-1,-1,0,-1,0,-1,,5060(450)\#,1580(400)\#,,,-1
224Bi,Bi,83,141,224,6920,1680,0,-1,-1,0,-1,0,-1,,6920(450)\#,1680(450)\#,,,-1
227Po,Po,84,143,227,4800,-410,0,0,0,0,0,0,,,4800(500)\#,-410(500)\#,,,
225At,At,85,140,225,3860,-120,0,-1,0.001,0,-1,0,-1,,3860(300)\#,-120(300)\#,,,-1
226At,At,85,141,226,5870,10,0,-1,0.001,0,-1,0,-1,,5870(300)\#,10(300)\#,,,-1
227At,At,85,142,227,4600,670,0,-1,0.001,0,-1,0,-1,,4600(300)\#,670(300)\#,,,-1
228At,At,85,143,228,6440,730,0,-1,0.001,0,-1,0,-1,,6440(400)\#,730(400)\#,,,-1
229At,At,85,144,229,5460,1510,0,-1,-1,0,-1,0,-1,,5460(400)\#,1510(400)\#,,,-1
233Fr,Fr,87,146,233,4586,352,0,0.9,0.001,0,-1,0,-1,,4586(21),352(22),,,0.9(1)
237Ac,Ac,89,148,237,4070,-310,0,0,0,0,0,0,,,4070(400)\#,-310(400)\#,,,
